# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:dens[1]-dens[1]        4:dens[1]-dens[2]        5:dens[1]-dens[3]        6:dens[1]-dens[4]        7:dens[1]-dens[5]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[3]-dens[5]       15:dens[4]-dens[4]       16:dens[4]-dens[5]       17:dens[5]-dens[5]    
   19       1.305718115741e-10       7.121806874680e-04       2.699678702907e-04       2.450866870013e-05       7.060336046959e-06       7.912508304813e-05       6.341036355630e-04       1.539082561985e-04       4.860475023375e-06       5.429709902765e-05       4.194275743704e-04       9.995438682424e-05       6.435262002932e-05       2.308106032751e-04       9.373423811764e-05       9.405004774507e-05 
   20       1.346279250810e-10       7.792142133376e-04       3.021693339916e-04       2.904902321228e-05       8.113000212511e-06       8.677179522614e-05       7.052568824490e-04       1.752498494087e-04       6.860444443712e-06       6.133704190827e-05       4.675568215567e-04       1.144403362053e-04       7.333237650509e-05       2.582594567302e-04       1.062387662014e-04       1.061129245607e-04 
   21       1.263118828782e-10       8.469734687267e-04       3.357012611397e-04       3.390863649457e-05       9.211582036460e-06       9.454290769534e-05       7.795183937227e-04       1.978461384688e-04       9.010481958127e-06       6.872369709028e-05       5.182513164146e-04       1.299150488586e-04       8.288001497532e-05       2.873572382209e-04       1.195796411732e-04       1.189558751616e-04 
   22       1.217550361261e-10       9.151960413710e-04       3.704361372501e-04       3.907458347625e-05       1.035300558156e-05       1.024130181659e-04       8.566677272993e-04       2.216395500674e-04       1.130426767028e-05       7.643366087534e-05       5.714345983124e-04       1.463615957007e-04       9.297936424987e-05       3.180922876657e-04       1.337472187604e-04       1.325723816512e-04 
   23       1.226975833690e-10       9.836418999867e-04       4.062430942091e-04       4.453208820606e-05       1.153407448865e-05       1.103581952392e-04       9.364753203411e-04       2.465681494043e-04       1.373401491277e-05       8.444229942173e-05       6.270241138629e-04       1.637573726814e-04       1.036119357438e-04       3.504420845435e-04       1.487290094104e-04       1.469537871405e-04 
   24       1.258496276708e-10       1.052108508739e-03       4.429907519554e-04       5.026572161446e-05       1.275203694105e-05       1.183579112995e-04       1.018702257592e-03       2.725671601183e-04       1.629227812558e-05       9.272466466062e-05       6.849278642843e-04       1.820744881151e-04       1.147578009783e-04       3.843743927167e-04       1.645098967527e-04       1.620894634902e-04 
   25       1.286976937825e-10       1.120414586071e-03       4.805470847928e-04       5.625866230641e-05       1.400392878148e-05       1.263928933586e-04       1.103105124927e-03       2.995680399942e-04       1.897010904225e-05       1.012550068448e-04       7.450432787656e-04       2.012731749007e-04       1.263955815252e-04       4.198445805585e-04       1.810723498267e-04       1.779668947272e-04 
   26       1.293210441297e-10       1.188415808376e-03       5.187824081384e-04       6.249366286856e-05       1.528712819799e-05       1.344470419179e-04       1.189436332845e-03       3.275004573160e-04       2.175911424751e-05       1.100076682287e-04       8.072585660130e-04       2.213100310028e-04       1.385029360406e-04       4.568027257891e-04       1.983967559276e-04       1.945718785517e-04 
   27       1.292646578025e-10       1.255989863538e-03       5.575696763770e-04       6.895236811933e-05       1.659892245610e-05       1.425057947454e-04       1.277447997004e-03       3.562919108216e-04       2.465192935387e-05       1.189567578478e-04       8.714580680929e-04       2.421537382267e-04       1.510560305860e-04       4.952146754225e-04       2.164620621746e-04       2.118886037635e-04 
   28       1.308977718483e-10       1.323047536087e-03       5.967866030993e-04       7.561615832485e-05       1.793688254371e-05       1.505573709191e-04       1.366892956302e-03       3.858691558748e-04       2.764205853097e-05       1.280768464032e-04       9.375207985775e-04       2.637752710059e-04       1.640302120932e-04       5.350473524806e-04       2.352456247692e-04       2.298998373063e-04 
   29       1.337651683853e-10       1.389506524078e-03       6.363138611662e-04       8.246551495168e-05       1.929833440249e-05       1.585901091460e-04       1.457528388379e-03       4.161567698211e-04       3.072087362408e-05       1.373423944479e-04       1.005323812976e-03       2.861348691001e-04       1.773995833407e-04       5.762513489674e-04       2.547228240218e-04       2.485869223609e-04 
   30       1.362468985042e-10       1.455318010424e-03       6.760393917635e-04       8.948112955340e-05       2.068095500169e-05       1.665951595243e-04       1.549116650815e-03       4.470798468299e-04       3.387998312777e-05       1.467288591556e-04       1.074740200492e-03       3.091885972799e-04       1.911379121932e-04       6.187684942660e-04       2.748675767929e-04       2.679300634812e-04 
   31       1.367322494696e-10       1.520467190152e-03       7.158594493845e-04       9.664411607903e-05       2.208282129612e-05       1.745666245407e-04       1.641426774002e-03       4.785646873141e-04       3.711185050100e-05       1.562129273049e-04       1.145639237359e-03       3.328918491174e-04       2.052188394068e-04       6.625372329861e-04       2.956526190293e-04       2.879084514232e-04 
   32       1.353684234259e-10       1.584932079061e-03       7.556741049950e-04       1.039348078092e-04       2.350161404602e-05       1.824977254281e-04       1.734236202269e-03       5.105362930338e-04       4.040822319333e-05       1.657713250326e-04       1.217889325710e-03       3.572016871208e-04       2.196149578328e-04       7.075005030686e-04       3.170495275780e-04       3.085001111605e-04 
   33       1.329774851284e-10       1.648713784412e-03       7.953926698527e-04       1.113339503465e-04       2.493522663761e-05       1.903836249300e-04       1.827333196247e-03       5.429213092514e-04       4.376147204329e-05       1.753820976944e-04       1.291357085398e-03       3.820760809022e-04       2.342988317091e-04       7.536011255165e-04       3.390290417442e-04       3.296822514128e-04 
   34       1.305009309996e-10       1.711839956088e-03       8.349348289289e-04       1.188230563803e-04       2.638186181845e-05       1.982218197188e-04       1.920518012514e-03       5.756489215268e-04       4.716469222658e-05       1.850249153818e-04       1.365908153340e-03       4.074728278786e-04       2.492433087482e-04       8.007792951838e-04       3.615611754195e-04       3.514314085264e-04 
   35       1.285756237170e-10       1.774331558805e-03       8.742252810870e-04       1.263836813627e-04       2.783944486872e-05       2.060092837895e-04       2.013601336097e-03       6.086489540291e-04       5.060994922585e-05       1.946799937181e-04       1.441410608973e-03       4.333464056115e-04       2.644208880993e-04       8.489700929657e-04       3.846149358686e-04       3.737232898820e-04 
   36       1.278249059252e-10       1.836227243225e-03       9.131995526556e-04       1.339982886809e-04       2.930608402114e-05       2.137445972400e-04       2.106408705136e-03       6.418543643406e-04       5.408968951629e-05       2.043292706362e-04       1.517733821643e-03       4.596506235446e-04       2.798045349199e-04       8.981054170874e-04       4.081588271243e-04       3.965331191672e-04 
   37       1.288074903726e-10       1.897583136722e-03       9.518041156023e-04       1.416503445815e-04       3.078013140021e-05       2.214279828425e-04       2.198780933006e-03       6.752015378302e-04       5.759705977898e-05       2.139564963698e-04       1.594748510130e-03       4.863398874692e-04       2.953678215302e-04       9.481160327763e-04       4.321610250230e-04       4.198357257924e-04 
   38       1.314381703499e-10       1.958437348205e-03       9.899874054907e-04       1.493232157322e-04       3.225971777856e-05       2.290583743692e-04       2.290567343780e-03       7.086271000163e-04       6.112491753526e-05       2.235456396614e-04       1.672327802992e-03       5.133695567618e-04       3.110840459478e-04       9.989357899000e-04       4.565890873173e-04       4.436052254601e-04 
   39       1.353700419835e-10       2.018835103053e-03       1.027707827438e-03       1.570012581631e-04       3.374312230275e-05       2.366355336423e-04       2.381633463173e-03       7.420711845350e-04       6.466671259031e-05       2.330823679584e-04       1.750347660246e-03       5.406962749972e-04       3.269271892846e-04       1.050499193843e-03       4.814104532079e-04       4.678154640023e-04 
   40       1.401389567538e-10       2.078838884984e-03       1.064937561155e-03       1.646703643075e-04       3.522893574157e-05       2.441609190974e-04       2.471865134826e-03       7.754791047199e-04       6.821690584914e-05       2.425547674520e-04       1.828687452980e-03       5.682783071451e-04       3.428724184150e-04       1.102740620044e-03       5.065927476625e-04       4.924402724708e-04 
   41       1.451554338829e-10       2.138519631185e-03       1.101659806700e-03       1.723177058003e-04       3.671594057237e-05       2.516369851789e-04       2.561166325667e-03       8.088006079308e-04       7.177058169020e-05       2.519529037139e-04       1.907230741760e-03       5.960751535067e-04       3.588959388137e-04       1.155594298312e-03       5.321037649377e-04       5.174534417795e-04 
   42       1.496973181643e-10       2.197925678226e-03       1.137856807021e-03       1.799303866201e-04       3.820263151097e-05       2.590646494432e-04       2.649447339408e-03       8.419858050584e-04       7.532184361190e-05       2.612667791349e-04       1.985866287545e-03       6.240454247667e-04       3.749739928640e-04       1.208993611484e-03       5.579109852828e-04       5.428283170296e-04 
   43       1.529006676418e-10       2.257104541749e-03       1.173519772275e-03       1.874966837697e-04       3.968758985684e-05       2.664451106867e-04       2.736635807229e-03       8.749889952769e-04       7.886509916271e-05       2.704880973782e-04       2.064488510495e-03       6.521488462626e-04       3.910838873612e-04       1.262872022272e-03       5.839822001681e-04       5.685382949478e-04 
   44       1.537510933342e-10       2.316111203921e-03       1.208653211050e-03       1.950066271736e-04       4.116963979821e-05       2.737805559468e-04       2.822681861834e-03       9.077704745759e-04       8.239560703085e-05       2.796110556307e-04       2.142998089773e-03       6.803472077710e-04       4.072045028176e-04       1.317163584328e-03       6.102858544277e-04       5.945570906949e-04 
   45       1.514671126356e-10       2.375002013474e-03       1.243270919134e-03       2.024516150520e-04       4.264775483391e-05       2.810736536505e-04       2.907553407923e-03       9.402953444756e-04       8.590925486137e-05       2.886316986830e-04       2.221301465839e-03       7.086040599536e-04       4.233160128081e-04       1.371803434648e-03       6.367909980051e-04       6.208586739766e-04 
   46       1.468062471955e-10       2.433814558936e-03       1.277380551388e-03       2.098227301253e-04       4.412069658422e-05       2.883258232921e-04       2.991216627675e-03       9.725282228324e-04       8.940161127362e-05       2.975453166183e-04       2.299307549935e-03       7.368830109302e-04       4.393985054255e-04       1.426728854195e-03       6.634667348610e-04       6.474167657146e-04 
   47       1.411354146296e-10       2.492581527226e-03       1.310995855452e-03       2.171122035599e-04       4.558730199295e-05       2.955384694433e-04       3.073652260168e-03       1.004437883419e-03       9.286873640948e-05       3.063485826178e-04       2.376931200229e-03       7.651494145889e-04       4.554332648008e-04       1.481878951806e-03       6.902828902005e-04       6.742053994314e-04 
   48       1.360872137711e-10       2.551335655978e-03       1.344141656329e-03       2.243140540090e-04       4.704660061070e-05       3.027134389233e-04       3.154862505813e-03       1.035999293553e-03       9.630753163752e-05       3.150404485630e-04       2.454094924682e-03       7.933711700514e-04       4.714033555207e-04       1.537194708878e-03       7.172103584248e-04       7.011992036138e-04 
   49       1.335742559765e-10       2.610109243143e-03       1.376854410961e-03       2.314242225481e-04       4.849782803912e-05       3.098530032359e-04       3.234872201621e-03       1.067194061637e-03       9.971580763036e-05       3.236222815111e-04       2.530729500233e-03       8.215189779545e-04       4.872937810402e-04       1.592619244540e-03       7.442212559705e-04       7.283735135640e-04 
   50       1.352901089067e-10       2.668930920302e-03       1.409177231616e-03       2.384400141390e-04       4.994034117917e-05       3.169595114109e-04       3.313721697684e-03       1.098008703529e-03       1.030919091489e-04       3.320970159540e-04       2.606773003748e-03       8.495657302890e-04       5.030910576787e-04       1.648097741681e-03       7.712887373370e-04       7.557042530738e-04 
   51       1.410191812530e-10       2.727816077766e-03       1.441142076888e-03       2.453579302452e-04       5.137330566497e-05       3.240342781875e-04       3.391440480437e-03       1.128427848593e-03       1.064333113872e-04       3.404660226893e-04       2.682166158255e-03       8.774838900927e-04       5.187814327773e-04       1.703576586182e-03       7.983860297079e-04       7.831672820900e-04 
   52       1.498928478650e-10       2.786772992800e-03       1.472783685261e-03       2.521754811476e-04       5.279594682649e-05       3.310783636808e-04       3.468068421255e-03       1.158439963111e-03       1.097377602967e-04       3.487316259474e-04       2.756856793804e-03       9.052478435032e-04       5.343524567047e-04       1.759004452398e-03       8.254874004805e-04       8.107390653215e-04 
   53       1.608531461355e-10       2.845804734284e-03       1.504144971114e-03       2.588919278689e-04       5.420764908406e-05       3.380928443108e-04       3.543664215612e-03       1.188039706997e-03       1.130037286761e-04       3.568981013487e-04       2.830801856827e-03       9.328349144317e-04       5.497936528033e-04       1.814332865179e-03       8.525686049152e-04       8.383969855621e-04 
   54       1.726429478931e-10       2.904908543554e-03       1.535277319001e-03       2.655083844747e-04       5.560796477156e-05       3.450787797278e-04       3.618306167823e-03       1.217228278696e-03       1.162304633870e-04       3.649717660641e-04       2.903967954591e-03       9.602255800705e-04       5.650966482992e-04       1.869516449076e-03       8.796070231250e-04       8.661194447095e-04 
   55       1.841000932663e-10       2.964076670014e-03       1.566235502544e-03       2.720271150529e-04       5.699654918777e-05       3.520371319617e-04       3.692083484656e-03       1.246011132554e-03       1.194176950711e-04       3.729600314446e-04       2.976329140254e-03       9.874025794592e-04       5.802545870902e-04       1.924512282685e-03       9.065813284423e-04       8.938856652365e-04 
   56       1.951478737938e-10       3.023300539532e-03       1.597060288785e-03       2.784489857748e-04       5.837292664322e-05       3.589685751203e-04       3.765065825642e-03       1.274389676733e-03       1.225645746843e-04       3.808680787627e-04       3.047858376423e-03       1.014347486144e-03       5.952598973817e-04       1.979277202919e-03       9.334700822173e-04       9.216748054229e-04 
   57       2.060333918804e-10       3.082566537052e-03       1.627792027846e-03       2.847755590591e-04       5.973668174890e-05       3.658735804839e-04       3.837327562940e-03       1.302368117001e-03       1.256705554784e-04       3.887015155770e-04       3.118534904604e-03       1.041043661574e-03       6.101061987828e-04       2.033770267570e-03       9.602530298850e-04       9.494668012711e-04 
   58       2.170471275828e-10       3.141854092296e-03       1.658475732708e-03       2.910099128179e-04       6.108753391556e-05       3.727524259658e-04       3.908957015648e-03       1.329956140815e-03       1.287357406795e-04       3.964673895638e-04       3.188347246222e-03       1.067477456070e-03       6.247890725303e-04       2.087953801185e-03       9.869116551498e-04       9.772427342007e-04 
   59       2.285249531767e-10       3.201135117286e-03       1.689161164068e-03       2.971567113814e-04       6.242534330268e-05       3.796051611758e-04       3.980056864756e-03       1.357169159850e-03       1.317609175555e-04       4.041742382548e-04       3.257293639558e-03       1.093638381212e-03       6.393061644197e-04       2.141793609412e-03       1.013429298717e-03       1.004984920397e-03 
   60       2.408501477230e-10       3.260373443855e-03       1.719902915194e-03       3.032222764221e-04       6.375011676747e-05       3.864315724858e-04       4.050744568101e-03       1.384028552528e-03       1.347475914834e-04       4.118321387735e-04       3.325382476688e-03       1.119519282214e-03       6.536572877364e-04       2.195259193342e-03       1.039791277025e-03       1.032677000159e-03 
