#scalar perturbations for mode k = 7.010000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]        
       1.000416837823e+00       2.162464741931e-06      -1.204738782253e+00       1.475236115906e-03       5.412346322787e-09       1.353086580697e-08       1.957558905403e-15       2.706173161394e-09      -9.035540866900e-01       1.475236115906e-03       6.011353063913e-01       6.990615710649e-01      -1.204738782253e+00       1.474912256473e-03       1.970133024868e-04      -9.035540866904e-01       1.475905989045e-03      -1.204746195423e+00       1.474921363875e-03       1.970145105344e-04       3.333333189768e-01 
       1.000416995621e+00       2.162465083650e-06      -1.204738783205e+00       1.475236348494e-03       5.412348886604e-09       1.353087221651e-08       1.957560451372e-15       2.706174443302e-09      -9.035540874039e-01       1.475236348494e-03       6.011353063339e-01       6.990615709045e-01      -1.204738783205e+00       1.474912488908e-03       1.970133645435e-04      -9.035540874043e-01       1.475906221949e-03      -1.204746196375e+00       1.474921596311e-03       1.970145725916e-04       3.333333189768e-01 
       1.000418573595e+00       2.162468500836e-06      -1.204738792723e+00       1.475238674371e-03       5.412374524819e-09       1.353093631205e-08       1.957575911121e-15       2.706187262410e-09      -9.035540945425e-01       1.475238674371e-03       6.011353057604e-01       6.990615693009e-01      -1.204738792722e+00       1.474914813251e-03       1.970139851114e-04      -9.035540945440e-01       1.475908550993e-03      -1.204746205896e+00       1.474923920674e-03       1.970151931639e-04       3.333333189768e-01 
       1.000420151568e+00       2.162471918021e-06      -1.204738802241e+00       1.475241000248e-03       5.412400163116e-09       1.353100040779e-08       1.957591370967e-15       2.706200081558e-09      -9.035541016811e-01       1.475241000248e-03       6.011353051869e-01       6.990615676974e-01      -1.204738802240e+00       1.474917137594e-03       1.970146056803e-04      -9.035541016836e-01       1.475910880037e-03      -1.204746215418e+00       1.474926245036e-03       1.970158137372e-04       3.333333189767e-01 
       1.000421729542e+00       2.162475335207e-06      -1.204738811760e+00       1.475243326125e-03       5.412425801493e-09       1.353106450373e-08       1.957606830911e-15       2.706212900746e-09      -9.035541088196e-01       1.475243326125e-03       6.011353046134e-01       6.990615660938e-01      -1.204738811757e+00       1.474919461937e-03       1.970152262501e-04      -9.035541088233e-01       1.475913209082e-03      -1.204746224939e+00       1.474928569399e-03       1.970164343114e-04       3.333333189767e-01 
       1.000423307516e+00       2.162478752393e-06      -1.204738821278e+00       1.475245652002e-03       5.412451439951e-09       1.353112859988e-08       1.957622290953e-15       2.706225719976e-09      -9.035541159582e-01       1.475245652002e-03       6.011353040399e-01       6.990615644902e-01      -1.204738821275e+00       1.474921786280e-03       1.970158468209e-04      -9.035541159629e-01       1.475915538126e-03      -1.204746234460e+00       1.474930893761e-03       1.970170548867e-04       3.333333189766e-01 
       1.000428843094e+00       2.162490739979e-06      -1.204738854667e+00       1.475253811244e-03       5.412541381030e-09       1.353135345257e-08       1.957676525991e-15       2.706270690515e-09      -9.035541410006e-01       1.475253811244e-03       6.011353020280e-01       6.990615588649e-01      -1.204738854662e+00       1.474929940142e-03       1.970180238087e-04      -9.035541410090e-01       1.475923708479e-03      -1.204746267861e+00       1.474939047690e-03       1.970192318899e-04       3.333333189765e-01 
       1.000434378671e+00       2.162502727564e-06      -1.204738888057e+00       1.475261970486e-03       5.412631323105e-09       1.353157830776e-08       1.957730762231e-15       2.706315661552e-09      -9.035541660428e-01       1.475261970486e-03       6.011353000161e-01       6.990615532396e-01      -1.204738888049e+00       1.474938094003e-03       1.970202008085e-04      -9.035541660549e-01       1.475931878832e-03      -1.204746301263e+00       1.474947201618e-03       1.970214089052e-04       3.333333189763e-01 
       1.000439914248e+00       2.162514715150e-06      -1.204738921447e+00       1.475270129728e-03       5.412721266177e-09       1.353180316544e-08       1.957784999674e-15       2.706360633088e-09      -9.035541910851e-01       1.475270129728e-03       6.011352980042e-01       6.990615476144e-01      -1.204738921437e+00       1.474946247864e-03       1.970223778203e-04      -9.035541911009e-01       1.475940049184e-03      -1.204746334663e+00       1.474955355546e-03       1.970235859326e-04       3.333333189762e-01 
       1.000445449826e+00       2.162526702736e-06      -1.204738954836e+00       1.475278288969e-03       5.412811210245e-09       1.353202802561e-08       1.957839238319e-15       2.706405605123e-09      -9.035542161272e-01       1.475278288969e-03       6.011352959924e-01       6.990615419891e-01      -1.204738954824e+00       1.474954401724e-03       1.970245548441e-04      -9.035542161468e-01       1.475948219537e-03      -1.204746368064e+00       1.474963509474e-03       1.970257629719e-04       3.333333189760e-01 
       1.000450985403e+00       2.162538690322e-06      -1.204738988226e+00       1.475286448211e-03       5.412901155310e-09       1.353225288827e-08       1.957893478167e-15       2.706450577655e-09      -9.035542411694e-01       1.475286448211e-03       6.011352939805e-01       6.990615363639e-01      -1.204738988211e+00       1.474962555584e-03       1.970267318800e-04      -9.035542411926e-01       1.475956389889e-03      -1.204746401465e+00       1.474971663401e-03       1.970279400233e-04       3.333333189758e-01 
       1.000471105049e+00       2.162582260484e-06      -1.204739109583e+00       1.475316103840e-03       5.413228078628e-09       1.353307019657e-08       1.958090628804e-15       2.706614039314e-09      -9.035543321873e-01       1.475316103840e-03       6.011352866684e-01       6.990615159188e-01      -1.204739109559e+00       1.474992191655e-03       1.970346446502e-04      -9.035543322240e-01       1.475986085904e-03      -1.204746522863e+00       1.475001299716e-03       1.970358528498e-04       3.333333189753e-01 
       1.000491224694e+00       2.162625830649e-06      -1.204739230939e+00       1.475345759466e-03       5.413555015112e-09       1.353388753778e-08       1.958287795329e-15       2.706777507556e-09      -9.035544232045e-01       1.475345759466e-03       6.011352793563e-01       6.990614954741e-01      -1.204739230907e+00       1.475021827721e-03       1.970425575793e-04      -9.035544232547e-01       1.476015781916e-03      -1.204746644260e+00       1.475030936025e-03       1.970437658352e-04       3.333333189747e-01 
       1.000511344340e+00       2.162669400818e-06      -1.204739352295e+00       1.475375415088e-03       5.413881964762e-09       1.353470491190e-08       1.958484977744e-15       2.706940982381e-09      -9.035545142212e-01       1.475375415088e-03       6.011352720444e-01       6.990614750298e-01      -1.204739352254e+00       1.475051463783e-03       1.970504706673e-04      -9.035545142848e-01       1.476045477927e-03      -1.204746765655e+00       1.475060572330e-03       1.970516789793e-04       3.333333189741e-01 
       1.000531463986e+00       2.162712970989e-06      -1.204739473650e+00       1.475405070706e-03       5.414208927577e-09       1.353552231894e-08       1.958682176048e-15       2.707104463789e-09      -9.035546052372e-01       1.475405070706e-03       6.011352647327e-01       6.990614545859e-01      -1.204739473600e+00       1.475081099840e-03       1.970583839143e-04      -9.035546053143e-01       1.476075173935e-03      -1.204746887049e+00       1.475090208629e-03       1.970595922824e-04       3.333333189735e-01 
       1.000551583631e+00       2.162756541164e-06      -1.204739595003e+00       1.475434726320e-03       5.414535903559e-09       1.353633975890e-08       1.958879390243e-15       2.707267951779e-09      -9.035546962525e-01       1.475434726320e-03       6.011352574211e-01       6.990614341424e-01      -1.204739594945e+00       1.475110735893e-03       1.970662973201e-04      -9.035546963432e-01       1.476104869942e-03      -1.204747008442e+00       1.475119844924e-03       1.970675057442e-04       3.333333189729e-01 
       1.000571703277e+00       2.162800111342e-06      -1.204739716356e+00       1.475464381931e-03       5.414862892707e-09       1.353715723177e-08       1.959076620331e-15       2.707431446354e-09      -9.035547872673e-01       1.475464381931e-03       6.011352501096e-01       6.990614136994e-01      -1.204739716289e+00       1.475140371941e-03       1.970742108848e-04      -9.035547873714e-01       1.476134565946e-03      -1.204747129833e+00       1.475149481213e-03       1.970754193649e-04       3.333333189724e-01 
       1.000620116713e+00       2.162904953263e-06      -1.204740008362e+00       1.475535741524e-03       5.415649773065e-09       1.353912443266e-08       1.959551275645e-15       2.707824886533e-09      -9.035550062714e-01       1.475535741524e-03       6.011352325167e-01       6.990613645093e-01      -1.204740008274e+00       1.475211684458e-03       1.970932537632e-04      -9.035550064080e-01       1.476206022743e-03      -1.204747421930e+00       1.475220794308e-03       1.970944623777e-04       3.333333189710e-01 
       1.000668530150e+00       2.163009795203e-06      -1.204740300362e+00       1.475607101095e-03       5.416436729665e-09       1.354109182416e-08       1.960026022996e-15       2.708218364833e-09      -9.035552252718e-01       1.475607101095e-03       6.011352149246e-01       6.990613153217e-01      -1.204740300253e+00       1.475282996948e-03       1.971122975616e-04      -9.035552254409e-01       1.476277479528e-03      -1.204747714019e+00       1.475292107373e-03       1.971135063100e-04       3.333333189696e-01 
       1.000716943586e+00       2.163114637162e-06      -1.204740592358e+00       1.475678460645e-03       5.417223762510e-09       1.354305940628e-08       1.960500862395e-15       2.708611881255e-09      -9.035554442686e-01       1.475678460645e-03       6.011351973332e-01       6.990612661364e-01      -1.204740592228e+00       1.475354309412e-03       1.971313422801e-04      -9.035554444701e-01       1.476348936301e-03      -1.204748006100e+00       1.475363420409e-03       1.971325511620e-04       3.333333189682e-01 
       1.000765357022e+00       2.163219479139e-06      -1.204740884349e+00       1.475749820173e-03       5.418010871604e-09       1.354502717901e-08       1.960975793857e-15       2.709005435802e-09      -9.035556632618e-01       1.475749820173e-03       6.011351797426e-01       6.990612169535e-01      -1.204740884198e+00       1.475425621851e-03       1.971503879187e-04      -9.035556634958e-01       1.476420393062e-03      -1.204748298173e+00       1.475434733415e-03       1.971515969335e-04       3.333333189668e-01 
       1.000813770459e+00       2.163324321135e-06      -1.204741176335e+00       1.475821179679e-03       5.418798056951e-09       1.354699514238e-08       1.961450817395e-15       2.709399028476e-09      -9.035558822514e-01       1.475821179679e-03       6.011351621528e-01       6.990611677729e-01      -1.204741176163e+00       1.475496934263e-03       1.971694344773e-04      -9.035558825178e-01       1.476491849811e-03      -1.204748590238e+00       1.475506046391e-03       1.971706436246e-04       3.333333189654e-01 
       1.000913175029e+00       2.163539587334e-06      -1.204741775838e+00       1.475967698050e-03       5.420414579129e-09       1.355103644782e-08       1.962426445027e-15       2.710207289564e-09      -9.035563318788e-01       1.475967698050e-03       6.011351260390e-01       6.990610668006e-01      -1.204741775624e+00       1.475643355923e-03       1.972085445829e-04      -9.035563322119e-01       1.476638567873e-03      -1.204749189893e+00       1.475652469196e-03       1.972097540005e-04       3.333333189625e-01 
       1.001012579599e+00       2.163754853612e-06      -1.204742375321e+00       1.476114216330e-03       5.422031422821e-09       1.355507855705e-08       1.963402461006e-15       2.711015711410e-09      -9.035567814910e-01       1.476114216330e-03       6.011350899282e-01       6.990609658383e-01      -1.204742375064e+00       1.475789777473e-03       1.972476585672e-04      -9.035567818908e-01       1.476785285883e-03      -1.204749789513e+00       1.475798891873e-03       1.972488682527e-04       3.333333189597e-01 
       1.001111984169e+00       2.163970119968e-06      -1.204742974784e+00       1.476260734520e-03       5.423648588059e-09       1.355912147015e-08       1.964378865448e-15       2.711824294030e-09      -9.035572310879e-01       1.476260734520e-03       6.011350538205e-01       6.990608648859e-01      -1.204742974483e+00       1.475936198914e-03       1.972867764305e-04      -9.035572315544e-01       1.476932003843e-03      -1.204750389097e+00       1.475945314420e-03       1.972879863813e-04       3.333333189568e-01 
       1.001211388740e+00       2.164185386403e-06      -1.204743574226e+00       1.476407252618e-03       5.425266074877e-09       1.356316518719e-08       1.965355658469e-15       2.712633037438e-09      -9.035576806695e-01       1.476407252618e-03       6.011350177158e-01       6.990607639435e-01      -1.204743573882e+00       1.476082620244e-03       1.973258981726e-04      -9.035576812027e-01       1.477078721752e-03      -1.204750988643e+00       1.476091736837e-03       1.973271083860e-04       3.333333189540e-01 
       1.001310793310e+00       2.164400652917e-06      -1.204744173648e+00       1.476553770626e-03       5.426883883305e-09       1.356720970826e-08       1.966332840186e-15       2.713441941652e-09      -9.035581302358e-01       1.476553770626e-03       6.011349816140e-01       6.990606630110e-01      -1.204744173261e+00       1.476229041465e-03       1.973650237935e-04      -9.035581308358e-01       1.477225439609e-03      -1.204751588151e+00       1.476238159122e-03       1.973662342667e-04       3.333333189511e-01 
       1.001410197880e+00       2.164615919510e-06      -1.204744773049e+00       1.476700288544e-03       5.428502013375e-09       1.357125503344e-08       1.967310410713e-15       2.714251006688e-09      -9.035585797870e-01       1.476700288544e-03       6.011349455152e-01       6.990605620885e-01      -1.204744772619e+00       1.476375462575e-03       1.974041532934e-04      -9.035585804537e-01       1.477372157415e-03      -1.204752187621e+00       1.476384581276e-03       1.974053640233e-04       3.333333189482e-01 
       1.001789912032e+00       2.165438214133e-06      -1.204747062508e+00       1.477259969486e-03       5.434686047708e-09       1.358671511927e-08       1.971048200289e-15       2.717343023854e-09      -9.035602968810e-01       1.477259969487e-03       6.011348076480e-01       6.990601766672e-01      -1.204747061914e+00       1.476934773550e-03       1.975536592393e-04      -9.035602978031e-01       1.477932602275e-03      -1.204754477164e+00       1.476943896017e-03       1.975548709214e-04       3.333333189373e-01 
