# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:dens[1]-dens[1]        4:dens[1]-dens[2]        5:dens[1]-dens[3]        6:dens[1]-dens[4]        7:dens[1]-dens[5]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[3]-dens[5]       15:dens[4]-dens[4]       16:dens[4]-dens[5]       17:dens[5]-dens[5]    
   19       1.426835972514e-10       6.399636974895e-04       2.561888041201e-04       2.542447579056e-05       6.305105184546e-06       6.903336242658e-05       6.060334297812e-04       1.512445257176e-04       4.621219497262e-06       5.010388930206e-05       4.146270337091e-04       1.009700295415e-04       6.314585910207e-05       2.340623984213e-04       9.508995431199e-05       9.464216813981e-05 
   20       1.344555307149e-10       6.993408361059e-04       2.859813215386e-04       2.987962919957e-05       7.274338890701e-06       7.563414589373e-05       6.724339372353e-04       1.716613899577e-04       6.554171982696e-06       5.648181298915e-05       4.611568839984e-04       1.152018540611e-04       7.176510513776e-05       2.613187119645e-04       1.074944211121e-04       1.065872864384e-04 
   21       1.166548094211e-10       7.592889702139e-04       3.169192060072e-04       3.462404717729e-05       8.285013573324e-06       8.233421513620e-05       7.415448990927e-04       1.932121649695e-04       8.625108371864e-06       6.315575860030e-05       5.100250746743e-04       1.303567806537e-04       8.090172131188e-05       2.901310535466e-04       1.206902216574e-04       1.192771965993e-04 
   22       1.120581992039e-10       8.195781906764e-04       3.488832565627e-04       3.964400944425e-05       9.334176241570e-06       8.911176235185e-05       8.131541693808e-04       2.158378652976e-04       1.082750537803e-05       7.010384711738e-05       5.611500019977e-04       1.464163062123e-04       9.053811736974e-05       3.204832123383e-04       1.346644642560e-04       1.327027771038e-04 
   23       1.206340574938e-10       8.799986543368e-04       3.817520661322e-04       4.492418748765e-05       1.041878137479e-05       9.594626350554e-05       8.870428919527e-04       2.394759235765e-04       1.315311032037e-05       7.730324293424e-05       6.144453350334e-04       1.633551001726e-04       1.006546483649e-04       3.523469404820e-04       1.494016449963e-04       1.468528887218e-04 
   24       1.334185504715e-10       9.403738487363e-04       4.154049512795e-04       5.044893559648e-05       1.153624441394e-05       1.028201931978e-04       9.629856257194e-04       2.640617456658e-04       1.559403962760e-05       8.473111506454e-05       6.698164242911e-04       1.811420595041e-04       1.112305792002e-04       3.856838113433e-04       1.648839060220e-04       1.617145766927e-04 
   25       1.412213033487e-10       1.000546167185e-03       4.497213435458e-04       5.620138161902e-05       1.268371368167e-05       1.097171135949e-04       1.040754458395e-03       2.895273448110e-04       1.814113812931e-05       9.236401624278e-05       7.271563248068e-04       1.997328748190e-04       1.222439724097e-04       4.204415660519e-04       1.810911030789e-04       1.772731457351e-04 
   26       1.363994118208e-10       1.060390657806e-03       4.845838642709e-04       6.216451745384e-05       1.385867360567e-05       1.166233604498e-04       1.120119638403e-03       3.158036522608e-04       2.078604417499e-05       1.001788269237e-04       7.863496214107e-04       2.190800374768e-04       1.336722622885e-04       4.565632016659e-04       1.980012802403e-04       1.935123886666e-04 
   27       1.253117306553e-10       1.119801859794e-03       5.198782341132e-04       6.832044785521e-05       1.505855938264e-05       1.235265959729e-04       1.200852837924e-03       3.428203863259e-04       2.352176148230e-05       1.081523424517e-04       8.472812926525e-04       2.391528581013e-04       1.454916616037e-04       4.940127807641e-04       2.155913825944e-04       2.104146365611e-04 
   28       1.182598657899e-10       1.178703450754e-03       5.554953998108e-04       7.465127443118e-05       1.628110081719e-05       1.304168984195e-04       1.282728277771e-03       3.705073128003e-04       2.634233359938e-05       1.162619824420e-04       9.098331905383e-04       2.599245352809e-04       1.576778707341e-04       5.327573028322e-04       2.338370847766e-04       2.279609771462e-04 
   29       1.162993888207e-10       1.237025320633e-03       5.913292732859e-04       8.113828293220e-05       1.752373717507e-05       1.372844424425e-04       1.365525382943e-03       3.987923627565e-04       2.923935538487e-05       1.244851026022e-04       9.738846072282e-04       2.813546602412e-04       1.702054961106e-04       5.727443973748e-04       2.527122339057e-04       2.461312163317e-04 
   30       1.171991447864e-10       1.294726689465e-03       6.272811828729e-04       8.776319783170e-05       1.878424047130e-05       1.441218331267e-04       1.449030166948e-03       4.276045844395e-04       3.220463203550e-05       1.328001560476e-04       1.039311622661e-03       3.033978942249e-04       1.830490921503e-04       6.139122382410e-04       2.721895049981e-04       2.649042186790e-04 
   31       1.187208819388e-10       1.351796530516e-03       6.632608020530e-04       9.450840331297e-05       2.006078558472e-05       1.509242267448e-04       1.533036538995e-03       4.568748661725e-04       3.523092532909e-05       1.411869072298e-04       1.105987799268e-03       3.260086592779e-04       1.961833782554e-04       6.561962244585e-04       2.922407071850e-04       2.842580361716e-04 
   32       1.215282347860e-10       1.408217683594e-03       6.991811674290e-04       1.013555483184e-04       2.135119040996e-05       1.576860097109e-04       1.617346705158e-03       4.865331732961e-04       3.831040412817e-05       1.496251167892e-04       1.173787011297e-03       3.491445700343e-04       2.095821443681e-04       6.995380094764e-04       3.128366557104e-04       3.041696729975e-04 
   33       1.273754034035e-10       1.463993106144e-03       7.349641878776e-04       1.082868653868e-04       2.265350104246e-05       1.644032318116e-04       1.701774190017e-03       5.165116409843e-04       4.143597833615e-05       1.580958613524e-04       1.242582649354e-03       3.727650213100e-04       2.232193893480e-04       7.438802282356e-04       3.339476168487e-04       3.246155077967e-04 
   34       1.375813630759e-10       1.519148836427e-03       7.705417067199e-04       1.152855256869e-04       2.396606874792e-05       1.710739446037e-04       1.786144920584e-03       5.467454358215e-04       4.460134368790e-05       1.665818260967e-04       1.312248272738e-03       3.968295575771e-04       2.370696401011e-04       7.891633930797e-04       3.555434277865e-04       3.455714474897e-04 
   35       1.502555746403e-10       1.573705143192e-03       8.058499199564e-04       1.223347362360e-04       2.528692810457e-05       1.776957462735e-04       1.870294607621e-03       5.771705288868e-04       4.779903512233e-05       1.750661501602e-04       1.382660338233e-03       4.212936983454e-04       2.511071709413e-04       8.353222277227e-04       3.775930506299e-04       3.670126901106e-04 
   36       1.620431288858e-10       1.627697578264e-03       8.408351054677e-04       1.294187181836e-04       2.661427845364e-05       1.842676018681e-04       1.954073584577e-03       6.077263766234e-04       5.102196385719e-05       1.835336106234e-04       1.453697517586e-03       4.461122648573e-04       2.653069177313e-04       8.822883918315e-04       4.000652044879e-04       3.889141389623e-04 
   37       1.696311987067e-10       1.681176773377e-03       8.754537186365e-04       1.365227960292e-04       2.794656341214e-05       1.907898753109e-04       2.037347126398e-03       6.383561669994e-04       5.426379941738e-05       1.919707025553e-04       1.525240728178e-03       4.712410691253e-04       2.796446123143e-04       9.299930093281e-04       4.229285526572e-04       4.112504912482e-04 
   38       1.725975747247e-10       1.734177763835e-03       9.096635966539e-04       1.436321245006e-04       2.928204207538e-05       1.972618305596e-04       2.119987946084e-03       6.690032313119e-04       5.751802414915e-05       2.003640287010e-04       1.597173447177e-03       4.966378107328e-04       2.940957413549e-04       9.783714379902e-04       4.461512662612e-04       4.339958119763e-04 
   39       1.714896182006e-10       1.786741613953e-03       9.434316161818e-04       1.507328821070e-04       3.061913318681e-05       2.036834284965e-04       2.201884081694e-03       6.996145404623e-04       6.077878531501e-05       2.087017480762e-04       1.669382621098e-03       5.222620556772e-04       3.086366074462e-04       1.027360498522e-03       4.697016371825e-04       4.571240616414e-04 
   40       1.670826716943e-10       1.838924108909e-03       9.767372823076e-04       1.578128547140e-04       3.195656816278e-05       2.100560615380e-04       2.282942977485e-03       7.301424493309e-04       6.404130266963e-05       2.169742681332e-04       1.741759428115e-03       5.480754422128e-04       3.232448703532e-04       1.076897568306e-03       4.935484315183e-04       4.806093880496e-04 
   41       1.603569874674e-10       1.890788153437e-03       1.009570055975e-03       1.648611308623e-04       3.329327172319e-05       2.163819591571e-04       2.363089074281e-03       7.605438299318e-04       6.730143310645e-05       2.251738037503e-04       1.814199828231e-03       5.740410906953e-04       3.378993456099e-04       1.126920358205e-03       5.176608286731e-04       5.044260727508e-04 
   42       1.523797510252e-10       1.942377099355e-03       1.041917966759e-03       1.718666112198e-04       3.462788514428e-05       2.226620488462e-04       2.442251733365e-03       7.907756550607e-04       7.055390353966e-05       2.332923899729e-04       1.886604832576e-03       6.001207619934e-04       3.525788268261e-04       1.177365456814e-03       5.420077687339e-04       5.285480143119e-04 
   43       1.444124691177e-10       1.993733360129e-03       1.073776919772e-03       1.788193340354e-04       3.595913815346e-05       2.288974848452e-04       2.520376114746e-03       8.207990107288e-04       7.379370624206e-05       2.413235665319e-04       1.958881439654e-03       6.262773622331e-04       3.672632263278e-04       1.228169801590e-03       5.665587049597e-04       5.529493114233e-04 
   44       1.379608061043e-10       2.044905460414e-03       1.105154717874e-03       1.857110814666e-04       3.728600410515e-05       2.350902402267e-04       2.597428193527e-03       8.505809561253e-04       7.701668658223e-05       2.492631246941e-04       2.030943401285e-03       6.524760822429e-04       3.819341237618e-04       1.279271402536e-03       5.912839974460e-04       5.776045651386e-04 
   45       1.344263792820e-10       2.095942850268e-03       1.136067336409e-03       1.925349658387e-04       3.860760546757e-05       2.412426829915e-04       2.673390079641e-03       8.800932420110e-04       8.021932491115e-05       2.571084958240e-04       2.102710441367e-03       6.786840704880e-04       3.965744359050e-04       1.330609775890e-03       6.161548078188e-04       6.024887835630e-04 
   46       1.339056752345e-10       2.146878924592e-03       1.166524728525e-03       1.992836717927e-04       3.992285021102e-05       2.473561378860e-04       2.748241126600e-03       9.093067978846e-04       8.339780919097e-05       2.648563208712e-04       2.174104080969e-03       7.048686615875e-04       4.111668880339e-04       1.382126795114e-03       6.411423468501e-04       6.275767635831e-04 
   47       1.360553960937e-10       2.197742619960e-03       1.196541996691e-03       2.059509550654e-04       4.123072019144e-05       2.534319056997e-04       2.821973471851e-03       9.381964709358e-04       8.654882607579e-05       2.725044272688e-04       2.245051685921e-03       7.309991044940e-04       4.256953889808e-04       1.433766530818e-03       6.662186898725e-04       6.528437396663e-04 
   48       1.404162731286e-10       2.248562522399e-03       1.226143916688e-03       2.125322878310e-04       4.253038867069e-05       2.594716385505e-04       2.894598553915e-03       9.667430783952e-04       8.966990165154e-05       2.800526508173e-04       2.315488359606e-03       7.570473735450e-04       4.401456452439e-04       1.485475355642e-03       6.913571813331e-04       6.782657006104e-04 
   49       1.464059436983e-10       2.299366398533e-03       1.255365399239e-03       2.190249824952e-04       4.382123342063e-05       2.654773216070e-04       2.966148115344e-03       9.949338180713e-04       9.275946696752e-05       2.875029517260e-04       2.385357518915e-03       7.829884190461e-04       4.545053100754e-04       1.537202211068e-03       7.165325882661e-04       7.038195033724e-04 
   50       1.533858523064e-10       2.350178574671e-03       1.284246988450e-03       2.254276217825e-04       4.510275258380e-05       2.714509913903e-04       3.036667467208e-03       1.022760483669e-03       9.581646104831e-05       2.948586378709e-04       2.454609758969e-03       8.087994403248e-04       4.687635181384e-04       1.588898357317e-03       7.417208436962e-04       7.294827149343e-04 
   51       1.608998875678e-10       2.401012323117e-03       1.312818845629e-03       2.317378794222e-04       4.637425492979e-05       2.773938429389e-04       3.106190800351e-03       1.050212587207e-03       9.883886085998e-05       3.021215167962e-04       2.523197747733e-03       8.344568909112e-04       4.829089946862e-04       1.640515924036e-03       7.668978386812e-04       7.552328232127e-04 
   52       1.684882079266e-10       2.451874598762e-03       1.341113216013e-03       2.379543218982e-04       4.763510817362e-05       2.833068487000e-04       3.174760906324e-03       1.077283079394e-03       1.018248655952e-04       3.092941712405e-04       2.591080941190e-03       8.599390935969e-04       4.969316908483e-04       1.692009427399e-03       7.920405676694e-04       7.810480087205e-04 
   53       1.756153257514e-10       2.502767453915e-03       1.369169234646e-03       2.440771394421e-04       4.888483719609e-05       2.891909708230e-04       3.242436953775e-03       1.103970681631e-03       1.047733670453e-04       3.163808566264e-04       2.658227657143e-03       8.852273466455e-04       5.108234705261e-04       1.743336489362e-03       8.171276409043e-04       8.069074964428e-04 
   54       1.816664677760e-10       2.553687468168e-03       1.397033154449e-03       2.501082371822e-04       5.012313257171e-05       2.950471304856e-04       3.309295127237e-03       1.130280193239e-03       1.076839933667e-04       3.233875750884e-04       2.724615570648e-03       9.103061283746e-04       5.245782305657e-04       1.794458080141e-03       8.421394185990e-04       8.327916568683e-04 
   55       1.861614768097e-10       2.604626711794e-03       1.424753880511e-03       2.560505515162e-04       5.134978446938e-05       3.008761535009e-04       3.375420692867e-03       1.156220244463e-03       1.105568284868e-04       3.303212344157e-04       2.790229337089e-03       9.351621250892e-04       5.381912935017e-04       1.845337708325e-03       8.670576153767e-04       8.586817599698e-04 
   56       1.894670807210e-10       2.655577222325e-03       1.452367751341e-03       2.619055915411e-04       5.256444558902e-05       3.066786615850e-04       3.440880424067e-03       1.181795197959e-03       1.133913884345e-04       3.371867106193e-04       2.855051634943e-03       9.597805634180e-04       5.516571338242e-04       1.895938200105e-03       8.918636911341e-04       8.845589341259e-04 
   57       1.922551913873e-10       2.706526641424e-03       1.479910376430e-03       2.676754465174e-04       5.376682427048e-05       3.124551003504e-04       3.505744444691e-03       1.207011773602e-03       1.161874673675e-04       3.439891853095e-04       2.919070765633e-03       9.841483251926e-04       5.649712973605e-04       1.946224544662e-03       9.165402954522e-04       9.104051255359e-04 
   58       1.953055969013e-10       2.757456279520e-03       1.507421043005e-03       2.733635667707e-04       5.495675945900e-05       3.182057297487e-04       3.570094500081e-03       1.231881629651e-03       1.189454701027e-04       3.507350343876e-04       2.982283706107e-03       1.008255199553e-03       5.781311690508e-04       1.996165073528e-03       9.410718733736e-04       9.362035082157e-04 
   59       1.995107976462e-10       2.808340605425e-03       1.534942761215e-03       2.789748246549e-04       5.613422632549e-05       3.239305924728e-04       3.634024261850e-03       1.256421570463e-03       1.216664432446e-04       3.574318664212e-04       3.044696492360e-03       1.032094041688e-03       5.911360647795e-04       2.045731662065e-03       9.654447789390e-04       9.619385715067e-04 
   60       2.058808423707e-10       2.859146735954e-03       1.562522309331e-03       2.845155755158e-04       5.729934188680e-05       3.296294823589e-04       3.697639632655e-03       1.280653754212e-03       1.243521063138e-04       3.640885610194e-04       3.106324602960e-03       1.055660931570e-03       6.039873232078e-04       2.094899930947e-03       9.896473887231e-04       9.875962075855e-04 
   61       2.152232906378e-10       2.909838529782e-03       1.590205856501e-03       2.899927921625e-04       5.845229348153e-05       3.353020340806e-04       3.761049447329e-03       1.304602786576e-03       1.270044508656e-04       3.707143228338e-04       3.167189128540e-03       1.078954064124e-03       6.166874320093e-04       2.143648813439e-03       1.013669472703e-03       1.013163281988e-03 
   62       2.270882152694e-10       2.960391097448e-03       1.618024580659e-03       2.954111033403e-04       5.959309272196e-05       3.409480872406e-04       3.824334447745e-03       1.328285769590e-03       1.296243622755e-04       3.773155086119e-04       3.227303407937e-03       1.101969769500e-03       6.292369696432e-04       2.191958687940e-03       1.037499884993e-03       1.038626034562e-03 
   63       2.405938983801e-10       3.010778657418e-03       1.646005887907e-03       3.007751956668e-04       6.072177603600e-05       3.465673483042e-04       3.887571853164e-03       1.351720377584e-03       1.322127424285e-04       3.838981527985e-04       3.286684059308e-03       1.124705877122e-03       6.416371369629e-04       2.239813181890e-03       1.061128553882e-03       1.063971473244e-03 
   64       2.547254452941e-10       3.060969862167e-03       1.674177456839e-03       3.060907124058e-04       6.183848004794e-05       3.521592493192e-04       3.950844349432e-03       1.374927880859e-03       1.347709315078e-04       3.904688960650e-04       3.345355174327e-03       1.147163021585e-03       6.538907222201e-04       2.287199946746e-03       1.084547266956e-03       1.089187929073e-03 
   65       2.683293126259e-10       3.110927433884e-03       1.702567143421e-03       3.113642850343e-04       6.294344475109e-05       3.577229201667e-04       4.014240089039e-03       1.397933254607e-03       1.373007254158e-04       3.970349924508e-04       3.403348567998e-03       1.169344761137e-03       6.660021622597e-04       2.334110839339e-03       1.107749761065e-03       1.114265127289e-03 
   66       2.801078363608e-10       3.160607800180e-03       1.731202885854e-03       3.166035648087e-04       6.403701668029e-05       3.632571608116e-04       4.077852691180e-03       1.420765287813e-03       1.398043931947e-04       4.036043165060e-04       3.460704028472e-03       1.191257696171e-03       6.779776037136e-04       2.380542103229e-03       1.130731812298e-03       1.139194258447e-03 
   67       2.886137599349e-10       3.209960729798e-03       1.760112609456e-03       3.218172543312e-04       6.511965208450e-05       3.687604135533e-04       4.141781241815e-03       1.443456692171e-03       1.422846944488e-04       4.101853704327e-04       3.517469566860e-03       1.212911587712e-03       6.898249641953e-04       2.426494550064e-03       1.153491325954e-03       1.163968049515e-03 
   68       2.926370599149e-10       3.258935719296e-03       1.789321433245e-03       3.270141895510e-04       6.619184872825e-05       3.742310720718e-04       4.206121857442e-03       1.466040869103e-03       1.447445069814e-04       4.167864547210e-04       3.573696193757e-03       1.234317527716e-03       7.015528364532e-04       2.471971247120e-03       1.176027390859e-03       1.188580145553e-03 
   69       2.924686721933e-10       3.307503470163e-03       1.818842845078e-03       3.322002992074e-04       6.725391815764e-05       3.796685433120e-04       4.270940391292e-03       1.488541206663e-03       1.471855831526e-04       4.234129689471e-04       3.629420461342e-03       1.255481754609e-03       7.131668061958e-04       2.516969630427e-03       1.198337018674e-03       1.213022950301e-03 
   70       2.888841765106e-10       3.355638129098e-03       1.848685559255e-03       3.373810831662e-04       6.830617277675e-05       3.850723519034e-04       4.336294171388e-03       1.510979799592e-03       1.496095716655e-04       4.300695743625e-04       3.684678816375e-03       1.276410791715e-03       7.246724946653e-04       2.561488112012e-03       1.220417902484e-03       1.237289473763e-03 
   71       2.827786347937e-10       3.403310733879e-03       1.878855895398e-03       3.425625146238e-04       6.934899445893e-05       3.904418036098e-04       4.402239735667e-03       1.533380622340e-03       1.520183923719e-04       4.367609680123e-04       3.739512868358e-03       1.297113351994e-03       7.360766806990e-04       2.605528547784e-03       1.242269456333e-03       1.261374035436e-03 
   72       2.751711524231e-10       3.450489021732e-03       1.909357614309e-03       3.477510473876e-04       7.038283589400e-05       3.957759661940e-04       4.468832616282e-03       1.555769552514e-03       1.544142437246e-04       4.434918684829e-04       3.793969499372e-03       1.317600406705e-03       7.473873323321e-04       2.649096355107e-03       1.263892878713e-03       1.285272317789e-03 
   73       2.672094394994e-10       3.497137237693e-03       1.940191753837e-03       3.529536231570e-04       7.140822193548e-05       4.010736502815e-04       4.536127123894e-03       1.578174394309e-03       1.567996102299e-04       4.502670016499e-04       3.848100973908e-03       1.337885254069e-03       7.586136384005e-04       2.692200630381e-03       1.285291216050e-03       1.308981419734e-03 
   74       2.601743721112e-10       3.543215942982e-03       1.971356464737e-03       3.581776788046e-04       7.242575094779e-05       4.063333902251e-04       4.604176131977e-03       1.600624901957e-03       1.591772698995e-04       4.570910864261e-04       3.901965048699e-03       1.357983587932e-03       7.697660401428e-04       2.734854266617e-03       1.306469426185e-03       1.332499910096e-03 
   75       2.554845536012e-10       3.588681823361e-03       2.002846846537e-03       3.634311536566e-04       7.343609615348e-05       4.115534249695e-04       4.673030861114e-03       1.623152803161e-03       1.615503017033e-04       4.639688205095e-04       3.955625082556e-03       1.377913566424e-03       7.808562628029e-04       2.777074071013e-03       1.327434441860e-03       1.355827881090e-03 
   76       2.543521358530e-10       3.633493593816e-03       2.034654775150e-03       3.687217380533e-04       7.443994279766e-05       4.167319784936e-04       4.742735892428e-03       1.645789057328e-03       1.639217562751e-04       4.709043945587e-04       4.009145058256e-03       1.397693910224e-03       7.918962101424e-04       2.818878445459e-03       1.348194020902e-03       1.378966169664e-03 
   77       2.566677416697e-10       3.677631379270e-03       2.066768712269e-03       3.740544447369e-04       7.543778343468e-05       4.218682024789e-04       4.813313634898e-03       1.668555001207e-03       1.662935822328e-04       4.778999639458e-04       4.062573357408e-03       1.417337645202e-03       8.028943453838e-04       2.860279679823e-03       1.368752914353e-03       1.401913739387e-03 
   78       2.619195447965e-10       3.721080536296e-03       2.099173562847e-03       3.794336057653e-04       7.643008758521e-05       4.269613715743e-04       4.884776620536e-03       1.691469623697e-03       1.686675166970e-04       4.849568711328e-04       4.115956212652e-03       1.436857338161e-03       8.138587046640e-04       2.901290460395e-03       1.389116111677e-03       1.424669916070e-03 
   79       2.695214227971e-10       3.763825804792e-03       2.131850518617e-03       3.848635837999e-04       7.741736263780e-05       4.320105862857e-04       4.957131715518e-03       1.714552155099e-03       1.710454052068e-04       4.920760689852e-04       4.169342538536e-03       1.456266993808e-03       8.247979837293e-04       2.941926248788e-03       1.409290030044e-03       1.447235213357e-03 
   80       2.788103671250e-10       3.805851241358e-03       2.164776893783e-03       3.903487638285e-04       7.840015388004e-05       4.370147599826e-04       5.030379806653e-03       1.737822033856e-03       1.734292022661e-04       4.992580968502e-04       4.222783937013e-03       1.475582083016e-03       8.357215462206e-04       2.982205349545e-03       1.429282552939e-03       1.469611369141e-03 
   81       2.890438931948e-10       3.847140152674e-03       2.197925960712e-03       3.958935448884e-04       7.937904452961e-05       4.419726059066e-04       5.104515487846e-03       1.761298873286e-03       1.758209718912e-04       5.065030566347e-04       4.276334702943e-03       1.494819571073e-03       8.466394319591e-04       3.022148977737e-03       1.449103068769e-03       1.491801381969e-03 
