#scalar perturbations for mode k = 7.010000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]        
       1.000463786046e+00       2.162668090082e-06      -1.204777823021e+00       1.475283913745e-03       4.951436568694e-09       1.237859142174e-08       1.638286866456e-15       2.475718284347e-09      -9.035833672660e-01       1.475283913745e-03       6.011361063810e-01       6.990518315143e-01      -1.204777823021e+00       1.474959918676e-03       1.970298156227e-04      -9.035833672663e-01       1.475953769707e-03      -1.204785236656e+00       1.474969026654e-03       1.970310238076e-04       3.333333189741e-01 
       1.000463943841e+00       2.162668431829e-06      -1.204777823979e+00       1.475284146323e-03       4.951438914109e-09       1.237859728527e-08       1.638288160254e-15       2.475719457055e-09      -9.035833679843e-01       1.475284146323e-03       6.011361063238e-01       6.990518313525e-01      -1.204777823979e+00       1.474960151100e-03       1.970298776808e-04      -9.035833679848e-01       1.475954002601e-03      -1.204785237614e+00       1.474969259081e-03       1.970310858661e-04       3.333333189741e-01 
       1.000465521798e+00       2.162671849300e-06      -1.204777833557e+00       1.475286472106e-03       4.951462368301e-09       1.237865592075e-08       1.638301098276e-15       2.475731184151e-09      -9.035833751675e-01       1.475286472106e-03       6.011361057517e-01       6.990518297340e-01      -1.204777833556e+00       1.474962475349e-03       1.970304982620e-04      -9.035833751690e-01       1.475956331551e-03      -1.204785247195e+00       1.474971583348e-03       1.970317064518e-04       3.333333189741e-01 
       1.000467099755e+00       2.162675266770e-06      -1.204777843134e+00       1.475288797889e-03       4.951485822567e-09       1.237871455642e-08       1.638314036380e-15       2.475742911284e-09      -9.035833823507e-01       1.475288797889e-03       6.011361051796e-01       6.990518281156e-01      -1.204777843133e+00       1.474964799597e-03       1.970311188442e-04      -9.035833823533e-01       1.475958660501e-03      -1.204785256776e+00       1.474973907616e-03       1.970323270384e-04       3.333333189740e-01 
       1.000468677712e+00       2.162678684240e-06      -1.204777852712e+00       1.475291123672e-03       4.951509276907e-09       1.237877319227e-08       1.638326974566e-15       2.475754638454e-09      -9.035833895339e-01       1.475291123672e-03       6.011361046075e-01       6.990518264972e-01      -1.204777852709e+00       1.474967123846e-03       1.970317394274e-04      -9.035833895375e-01       1.475960989451e-03      -1.204785266356e+00       1.474976231883e-03       1.970329476260e-04       3.333333189740e-01 
       1.000470255669e+00       2.162682101711e-06      -1.204777862289e+00       1.475293449455e-03       4.951532731321e-09       1.237883182830e-08       1.638339912833e-15       2.475766365661e-09      -9.035833967171e-01       1.475293449455e-03       6.011361040354e-01       6.990518248788e-01      -1.204777862286e+00       1.474969448094e-03       1.970323600115e-04      -9.035833967218e-01       1.475963318400e-03      -1.204785275937e+00       1.474978556150e-03       1.970335682145e-04       3.333333189739e-01 
       1.000475791116e+00       2.162694090141e-06      -1.204777895887e+00       1.475301608264e-03       4.951615009609e-09       1.237903752402e-08       1.638385300711e-15       2.475807504804e-09      -9.035834219156e-01       1.475301608264e-03       6.011361020286e-01       6.990518192014e-01      -1.204777895882e+00       1.474977601520e-03       1.970345370184e-04      -9.035834219240e-01       1.475971488318e-03      -1.204785309546e+00       1.474986709642e-03       1.970357452368e-04       3.333333189738e-01 
       1.000481326563e+00       2.162706078571e-06      -1.204777929485e+00       1.475309767072e-03       4.951697288807e-09       1.237924322202e-08       1.638430689594e-15       2.475848644404e-09      -9.035834471140e-01       1.475309767072e-03       6.011361000218e-01       6.990518135241e-01      -1.204777929478e+00       1.474985754945e-03       1.970367140372e-04      -9.035834471261e-01       1.475979658235e-03      -1.204785343155e+00       1.474994863134e-03       1.970379222710e-04       3.333333189736e-01 
       1.000486862010e+00       2.162718067002e-06      -1.204777963083e+00       1.475317925880e-03       4.951779568918e-09       1.237944892229e-08       1.638476079484e-15       2.475889784459e-09      -9.035834723124e-01       1.475317925880e-03       6.011360980149e-01       6.990518078468e-01      -1.204777963073e+00       1.474993908369e-03       1.970388910681e-04      -9.035834723282e-01       1.475987828152e-03      -1.204785376763e+00       1.475003016625e-03       1.970400993173e-04       3.333333189735e-01 
       1.000492397457e+00       2.162730055433e-06      -1.204777996681e+00       1.475326084687e-03       4.951861849940e-09       1.237965462485e-08       1.638521470380e-15       2.475930924970e-09      -9.035834975108e-01       1.475326084687e-03       6.011360960081e-01       6.990518021695e-01      -1.204777996668e+00       1.475002061793e-03       1.970410681110e-04      -9.035834975303e-01       1.475995998069e-03      -1.204785410372e+00       1.475011170116e-03       1.970422763756e-04       3.333333189733e-01 
       1.000497932903e+00       2.162742043864e-06      -1.204778030279e+00       1.475334243495e-03       4.951944131873e-09       1.237986032968e-08       1.638566862283e-15       2.475972065937e-09      -9.035835227091e-01       1.475334243495e-03       6.011360940013e-01       6.990517964923e-01      -1.204778030264e+00       1.475010215217e-03       1.970432451659e-04      -9.035835227323e-01       1.476004167986e-03      -1.204785443980e+00       1.475019323606e-03       1.970444534460e-04       3.333333189731e-01 
       1.000518051953e+00       2.162785616832e-06      -1.204778152392e+00       1.475363897367e-03       4.952243200188e-09       1.238060800047e-08       1.638731851464e-15       2.476121600094e-09      -9.035836142940e-01       1.475363897367e-03       6.011360867075e-01       6.990517758582e-01      -1.204778152368e+00       1.475039849522e-03       1.970511579571e-04      -9.035836143307e-01       1.476033862237e-03      -1.204785566133e+00       1.475048958153e-03       1.970523662932e-04       3.333333189726e-01 
       1.000538171002e+00       2.162829189803e-06      -1.204778274504e+00       1.475393551235e-03       4.952542280547e-09       1.238135570137e-08       1.638896853940e-15       2.476271140273e-09      -9.035837058783e-01       1.475393551235e-03       6.011360794138e-01       6.990517552245e-01      -1.204778274472e+00       1.475069483822e-03       1.970590709073e-04      -9.035837059285e-01       1.476063556486e-03      -1.204785688283e+00       1.475078592694e-03       1.970602792993e-04       3.333333189720e-01 
       1.000558290051e+00       2.162872762777e-06      -1.204778396616e+00       1.475423205099e-03       4.952841372949e-09       1.238210343237e-08       1.639061869713e-15       2.476420686474e-09      -9.035837974620e-01       1.475423205100e-03       6.011360721203e-01       6.990517345912e-01      -1.204778396575e+00       1.475099118118e-03       1.970669840163e-04      -9.035837975257e-01       1.476093250732e-03      -1.204785810433e+00       1.475108227230e-03       1.970681924642e-04       3.333333189714e-01 
       1.000578409101e+00       2.162916335755e-06      -1.204778518727e+00       1.475452858960e-03       4.953140477395e-09       1.238285119349e-08       1.639226898784e-15       2.476570238697e-09      -9.035838890451e-01       1.475452858960e-03       6.011360648269e-01       6.990517139583e-01      -1.204778518677e+00       1.475128752409e-03       1.970748972842e-04      -9.035838891223e-01       1.476122944977e-03      -1.204785932581e+00       1.475137861761e-03       1.970761057878e-04       3.333333189708e-01 
       1.000598528150e+00       2.162959908736e-06      -1.204778640837e+00       1.475482512817e-03       4.953439593885e-09       1.238359898471e-08       1.639391941153e-15       2.476719796942e-09      -9.035839806275e-01       1.475482512817e-03       6.011360575336e-01       6.990516933258e-01      -1.204778640778e+00       1.475158386696e-03       1.970828107111e-04      -9.035839807182e-01       1.476152639219e-03      -1.204786054728e+00       1.475167496287e-03       1.970840192704e-04       3.333333189702e-01 
       1.000618647199e+00       2.163003481720e-06      -1.204778762946e+00       1.475512166671e-03       4.953738722419e-09       1.238434680605e-08       1.639556996821e-15       2.476869361210e-09      -9.035840722094e-01       1.475512166671e-03       6.011360502405e-01       6.990516726938e-01      -1.204778762879e+00       1.475188020978e-03       1.970907242968e-04      -9.035840723135e-01       1.476182333460e-03      -1.204786176873e+00       1.475197130808e-03       1.970919329117e-04       3.333333189697e-01 
       1.000667058641e+00       2.163108329182e-06      -1.204779056767e+00       1.475583521209e-03       4.954458549511e-09       1.238614637378e-08       1.639954216359e-15       2.477229274755e-09      -9.035842925754e-01       1.475583521210e-03       6.011360326919e-01       6.990516230496e-01      -1.204779056679e+00       1.475259328421e-03       1.971097670054e-04      -9.035842927120e-01       1.476253785187e-03      -1.204786470780e+00       1.475268438822e-03       1.971109757538e-04       3.333333189683e-01 
       1.000715470083e+00       2.163213176664e-06      -1.204779350584e+00       1.475654875727e-03       4.955178446345e-09       1.238794611586e-08       1.640351512916e-15       2.477589223172e-09      -9.035845129378e-01       1.475654875727e-03       6.011360151441e-01       6.990515734077e-01      -1.204779350475e+00       1.475330635838e-03       1.971288106340e-04      -9.035845131069e-01       1.476325236901e-03      -1.204786764679e+00       1.475339746806e-03       1.971300195154e-04       3.333333189669e-01 
       1.000763881525e+00       2.163318024164e-06      -1.204779644396e+00       1.475726230222e-03       4.955898412925e-09       1.238974603231e-08       1.640748886502e-15       2.477949206462e-09      -9.035847332966e-01       1.475726230222e-03       6.011359975970e-01       6.990515237682e-01      -1.204779644266e+00       1.475401943228e-03       1.971478551826e-04      -9.035847334981e-01       1.476396688604e-03      -1.204787058570e+00       1.475411054761e-03       1.971490641965e-04       3.333333189655e-01 
       1.000812292967e+00       2.163422871684e-06      -1.204779938202e+00       1.475797584696e-03       4.956618449254e-09       1.239154612314e-08       1.641146337129e-15       2.478309224627e-09      -9.035849536518e-01       1.475797584696e-03       6.011359800507e-01       6.990514741311e-01      -1.204779938052e+00       1.475473250592e-03       1.971669006512e-04      -9.035849538857e-01       1.476468140294e-03      -1.204787352453e+00       1.475482362685e-03       1.971681097970e-04       3.333333189641e-01 
       1.000860704409e+00       2.163527719223e-06      -1.204780232004e+00       1.475868939149e-03       4.957338555336e-09       1.239334638834e-08       1.641543864808e-15       2.478669277668e-09      -9.035851740033e-01       1.475868939149e-03       6.011359625052e-01       6.990514244963e-01      -1.204780231833e+00       1.475544557930e-03       1.971859470397e-04      -9.035851742697e-01       1.476539591972e-03      -1.204787646328e+00       1.475553670579e-03       1.971871563170e-04       3.333333189627e-01 
       1.000960107286e+00       2.163743002007e-06      -1.204780835251e+00       1.476015450682e-03       4.958817362818e-09       1.239704340705e-08       1.642360347209e-15       2.479408681409e-09      -9.035856264382e-01       1.476015450683e-03       6.011359264813e-01       6.990513225890e-01      -1.204780835036e+00       1.475690972710e-03       1.972250577409e-04      -9.035856267713e-01       1.476686303168e-03      -1.204788249712e+00       1.475700086486e-03       1.972262672861e-04       3.333333189598e-01 
