# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.326212236469e+13       8.690109267055e-26       4.969479050487e-09       1.876595376801e+22       1.389409113207e+04       1.489789292778e-10       1.295792427305e+18       2.869287227186e-09       2.081614238068e+44       2.211263828715e+33       1.105631914358e+34       3.815924191813e-08       1.439995970030e+44       3.521610208230e+44       7.562668509255e-07       1.433565615564e+01 
       9.261382558559e+13       8.812196612148e-26       5.004039849155e-09       1.850596348698e+22       1.389409113207e+04       1.500217817827e-10       1.286784932776e+18       2.889372237776e-09       2.024334923495e+44       2.165469894108e+33       1.082734947054e+34       3.815924191813e-08       1.400371922191e+44       3.424706845815e+44       8.318935360180e-07       1.303241468694e+01 
       9.197003533823e+13       8.935999162352e-26       5.040419637226e-09       1.824957520493e+22       1.389409113207e+04       1.510719342552e-10       1.277840052409e+18       2.909597843440e-09       1.968631751041e+44       2.120624324151e+33       1.060312162076e+34       3.815924191813e-08       1.361838200436e+44       3.330469951604e+44       9.075202211104e-07       1.194638012970e+01 
       9.133072029615e+13       9.061541014584e-26       5.074980435893e-09       1.799673901846e+22       1.389409113207e+04       1.521294377950e-10       1.268957350952e+18       2.929965028344e-09       1.914461350357e+44       2.076707478787e+33       1.038353739393e+34       3.815924191813e-08       1.324364802505e+44       3.238826152987e+44       9.831469062029e-07       1.102742781203e+01 
       9.069584935070e+13       9.188846604297e-26       5.109541234560e-09       1.774740571557e+22       1.389409113207e+04       1.531943438596e-10       1.260136396179e+18       2.950474783542e-09       1.861781544502e+44       2.033700124691e+33       1.016850062345e+34       3.815924191813e-08       1.287922551705e+44       3.149704096329e+44       1.058773591295e-06       1.023975439688e+01 
       9.006539160943e+13       9.317940710241e-26       5.145921022631e-09       1.750152676603e+22       1.389409113207e+04       1.542667042666e-10       1.251376758867e+18       2.971128107027e-09       1.810551317112e+44       1.991583426850e+33       9.957917134251e+33       3.815924191813e-08       1.252483074190e+44       3.063034391422e+44       1.134400276388e-06       9.557104103757e+00 
       8.943931639467e+13       9.448848459279e-26       5.182300810702e-09       1.725905431201e+22       1.389409113207e+04       1.553465711964e-10       1.242678012777e+18       2.991926003776e-09       1.760730780460e+44       1.950338940313e+33       9.751694701566e+33       3.815924191813e-08       1.218018776871e+44       2.978749557448e+44       1.210026961480e-06       8.959785097272e+00 
       8.881759324197e+13       9.581595331283e-26       5.218680598773e-09       1.701994115867e+22       1.389409113207e+04       1.564339971948e-10       1.234039734635e+18       3.012869485803e-09       1.712281144399e+44       1.909948602112e+33       9.549743010559e+33       3.815924191813e-08       1.184502825932e+44       2.896783970446e+44       1.285653646573e-06       8.432738915079e+00 
       8.820019189868e+13       9.716207164092e-26       5.255060386844e-09       1.678414076506e+22       1.389409113207e+04       1.575290351752e-10       1.225461504106e+18       3.033959572203e-09       1.665164686165e+44       1.870394723352e+33       9.351973616759e+33       3.815924191813e-08       1.151909125938e+44       2.817073812215e+44       1.361280331665e-06       7.964253419796e+00 
       8.758708232243e+13       9.852710158540e-26       5.291440174915e-09       1.655160723502e+22       1.389409113207e+04       1.586317384214e-10       1.216942903780e+18       3.055197289208e-09       1.619344721000e+44       1.831659981464e+33       9.158299907322e+33       3.815924191813e-08       1.120212299515e+44       2.739557020624e+44       1.436907016758e-06       7.545082187175e+00 
       8.697823467967e+13       9.991130883557e-26       5.329638952389e-09       1.632229530824e+22       1.389409113207e+04       1.597421605904e-10       1.208483519146e+18       3.076583670233e-09       1.574785573594e+44       1.793727412621e+33       8.968637063106e+33       3.815924191813e-08       1.089387667592e+44       2.664173241294e+44       1.512533701850e-06       7.167828077816e+00 
       8.637361934426e+13       1.013149628134e-25       5.366018740460e-09       1.609616035146e+22       1.389409113207e+04       1.608603557145e-10       1.200082938576e+18       3.098119755924e-09       1.531452550306e+44       1.756580404304e+33       8.782902021521e+33       3.815924191813e-08       1.059411230189e+44       2.590863780600e+44       1.588160386943e-06       6.826502931253e+00 
       8.577320689599e+13       1.027383367260e-25       5.404217517935e-09       1.587315834981e+22       1.389409113207e+04       1.619863782045e-10       1.191740753302e+18       3.119806594215e-09       1.489311912151e+44       1.720202688031e+33       8.601013440155e+33       3.815924191813e-08       1.030259647727e+44       2.519571559981e+44       1.663787072035e-06       6.516207343469e+00 
