# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:dens[1]-dens[1]        4:dens[1]-dens[2]        5:dens[1]-dens[3]        6:dens[1]-dens[4]        7:dens[1]-dens[5]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[3]-dens[5]       15:dens[4]-dens[4]       16:dens[4]-dens[5]       17:dens[5]-dens[5]    
 1953       1.520489934037e-11       6.174343365602e-03       5.118835316812e-03       1.279990445507e-03       2.293778704424e-04       8.407521120199e-04       1.313589453212e-02       5.374306524716e-03       5.774037243706e-04       1.418277792539e-03       1.461272389809e-02       5.631824572987e-03       3.081151608782e-03       1.271402446693e-02       6.319684693587e-03       7.302199177951e-03 
 1954       1.594676918285e-11       6.172621940963e-03       5.117551261524e-03       1.279697597115e-03       2.293242218595e-04       8.405242754790e-04       1.313267727560e-02       5.373055829418e-03       5.772721431996e-04       1.417936602580e-03       1.460947862317e-02       5.630619376980e-03       3.080479278697e-03       1.271145713078e-02       6.318425074181e-03       7.300830012349e-03 
 1955       1.674068560064e-11       6.170894178190e-03       5.116261838937e-03       1.279403373822e-03       2.292703251016e-04       8.402955607783e-04       1.312944611699e-02       5.371799367355e-03       5.771399407484e-04       1.417593906570e-03       1.460621749040e-02       5.629408012207e-03       3.079803595409e-03       1.270887568638e-02       6.317158463307e-03       7.299452846743e-03 
 1956       1.758263418832e-11       6.169164593650e-03       5.114970812692e-03       1.279108720374e-03       2.292163493490e-04       8.400665837301e-04       1.312621072482e-02       5.370541102560e-03       5.770075431119e-04       1.417250749139e-03       1.460295129796e-02       5.628194646162e-03       3.079126837281e-03       1.270628956113e-02       6.315889546252e-03       7.298073109999e-03 
 1957       1.846858364105e-11       6.167437722170e-03       5.113681961813e-03       1.278814585379e-03       2.291624644738e-04       8.398379626637e-04       1.312298080713e-02       5.369285015270e-03       5.768753781272e-04       1.416908179189e-03       1.459969088818e-02       5.626983463378e-03       3.078451291994e-03       1.270370822102e-02       6.314623027465e-03       7.296696253184e-03 
 1958       1.939448573281e-11       6.165718117060e-03       5.112399080730e-03       1.278521921310e-03       2.291088410407e-04       8.396103184286e-04       1.311976611153e-02       5.368035101948e-03       5.767438753756e-04       1.416567249899e-03       1.459644714758e-02       5.625778665453e-03       3.077779256553e-03       1.270114117061e-02       6.313363630581e-03       7.295327749596e-03 
 1959       2.035627529457e-11       6.164010350133e-03       5.111125979299e-03       1.278231684516e-03       2.290556503077e-04       8.393842743980e-04       1.311657642527e-02       5.366795375308e-03       5.766134661850e-04       1.416229018728e-03       1.459323100698e-02       5.624584471069e-03       3.077113037309e-03       1.269859795315e-02       6.312116098441e-03       7.293973094789e-03 
 1960       2.134987019252e-11       6.162319011733e-03       5.109866482817e-03       1.277944835222e-03       2.290030642274e-04       8.391604564717e-04       1.311342157528e-02       5.365569864332e-03       5.764845836321e-04       1.415894547423e-03       1.459005344148e-02       5.623405116014e-03       3.076454949959e-03       1.269608815056e-02       6.310885193123e-03       7.292637806606e-03 
 1961       2.237117130629e-11       6.160648710757e-03       5.108624432048e-03       1.277662337535e-03       2.289512554474e-04       8.389394930795e-04       1.311031142819e-02       5.364362614291e-03       5.763576625448e-04       1.415564902023e-03       1.458692547058e-02       5.622244853206e-03       3.075807319566e-03       1.269362138351e-02       6.309675695962e-03       7.291327425205e-03 
 1962       2.341606250712e-11       6.159004074677e-03       5.107403683236e-03       1.277385159449e-03       2.289003973117e-04       8.387220151842e-04       1.310725589044e-02       5.363177686768e-03       5.762331395041e-04       1.415241152866e-03       1.458385815821e-02       5.621107952711e-03       3.075172480569e-03       1.269120731150e-02       6.308492407575e-03       7.290047513085e-03 
