# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       8.111774765760e+13       1.148677941357e-25       5.713445716538e-09       1.419703320429e+22       1.387395658547e+04       1.710347856801e-10       1.125424109313e+18       3.298812700681e-09       1.191358877859e+44       1.455031276235e+33       7.275156381176e+33       2.741373133188e+43       9.137910443959e+42       3.808819787004e-08       5.500613267733e+43       2.015557518038e+44       2.291408427582e-06       4.778552051876e+00 
       8.055387056366e+13       1.164815717755e-25       5.753463483416e-09       1.400034239400e+22       1.387395658547e+04       1.722320291799e-10       1.117600902992e+18       3.321904389586e-09       1.158576521413e+44       1.424898459766e+33       7.124492298832e+33       2.665939380292e+43       8.886464600973e+42       3.808819787004e-08       5.349254119652e+43       1.960095871493e+44       2.367788708502e-06       4.624405211493e+00 
       7.999391317146e+13       1.181180213774e-25       5.793481250294e-09       1.380637660902e+22       1.387395658547e+04       1.734376533842e-10       1.109832078443e+18       3.345157720312e-09       1.126696229756e+44       1.395389675676e+33       6.976948378381e+33       2.592581321145e+43       8.641937737150e+42       3.808819787004e-08       5.202059887479e+43       1.906160350702e+44       2.444168989421e-06       4.479892548634e+00 
       7.943784823382e+13       1.197774614597e-25       5.835318006575e-09       1.361509809588e+22       1.387395658547e+04       1.746517169578e-10       1.102117257639e+18       3.368573824354e-09       1.095693180972e+44       1.366492000632e+33       6.832460003161e+33       2.521241839345e+43       8.404139464484e+42       3.808819787004e-08       5.058915966153e+43       1.853708961603e+44       2.520549270340e-06       4.344138228978e+00 
       7.888564869297e+13       1.214602150158e-25       5.875335773453e-09       1.342646962413e+22       1.387395658547e+04       1.758742789765e-10       1.094456065183e+18       3.392153841125e-09       1.065543236164e+44       1.338192778936e+33       6.690963894679e+33       2.451865390150e+43       8.172884633834e+42       3.808819787004e-08       4.919710904175e+43       1.802700865677e+44       2.596929551260e-06       4.216369457538e+00 
       7.833728767921e+13       1.231666095765e-25       5.917172529735e-09       1.324045447915e+22       1.387395658547e+04       1.771053989294e-10       1.086848128285e+18       3.415898918012e-09       1.036222920661e+44       1.310479616981e+33       6.552398084905e+33       2.384397957229e+43       7.947993190764e+42       3.808819787004e-08       4.784336316830e+43       1.753096348145e+44       2.673309832179e-06       4.095901758751e+00 
       7.779273850965e+13       1.248969772744e-25       5.957190296613e-09       1.305701645498e+22       1.387395658547e+04       1.783451367219e-10       1.079293076748e+18       3.439810210438e-09       1.007709405738e+44       1.283340377825e+33       6.416701889127e+33       2.318787010608e+43       7.729290035360e+42       3.808819787004e-08       4.652686801802e+43       1.704856787056e+44       2.749690113098e-06       3.982126709897e+00 
       7.725197468684e+13       1.266516549082e-25       5.999027052894e-09       1.287611984725e+22       1.387395658547e+04       1.795935526789e-10       1.071790542947e+18       3.463888881911e-09       9.799804908440e+43       1.256763175875e+33       6.283815879377e+33       2.254981465767e+43       7.516604885889e+42       3.808819787004e-08       4.524659857108e+43       1.657944623207e+44       2.826070394017e-06       3.874501663683e+00 
       7.671496989756e+13       1.284309840080e-25       6.040863809176e-09       1.269772944626e+22       1.387395658547e+04       1.808507075477e-10       1.064340161815e+18       3.488136104084e-09       9.530145863146e+43       1.230736371681e+33       6.153681858404e+33       2.192931643868e+43       7.309772146226e+42       3.808819787004e-08       4.400155801288e+43       1.612323330904e+44       2.902450674937e-06       3.772541093586e+00 
       7.618169801148e+13       1.302353109023e-25       6.084519554861e-09       1.252181053012e+22       1.387395658547e+04       1.821166625005e-10       1.056941570819e+18       3.512553056813e-09       9.267906965640e+43       1.205248566838e+33       6.026242834189e+33       2.132589233074e+43       7.108630776915e+42       3.808819787004e-08       4.279077695795e+43       1.567957389523e+44       2.978830955856e-06       3.675809270674e+00 
       7.565213307992e+13       1.320649867851e-25       6.126356311142e-09       1.234832885800e+22       1.387395658547e+04       1.833914791380e-10       1.049594409949e+18       3.537140928210e-09       9.012884037369e+43       1.180288598996e+33       5.901442994979e+33       2.073907250936e+43       6.913024169787e+42       3.808819787004e-08       4.161331269517e+43       1.524812255853e+44       3.055211236775e-06       3.583914038907e+00 
       7.512624933457e+13       1.339203677845e-25       6.170012056828e-09       1.217725066343e+22       1.387395658547e+04       1.846752194920e-10       1.042298321697e+18       3.561900914708e-09       8.764878518120e+43       1.155845536970e+33       5.779227684852e+33       2.016840007808e+43       6.722800026028e+42       3.808819787004e-08       4.046824845382e+43       1.482854337200e+44       3.131591517695e-06       3.496501501373e+00 
       7.460402118627e+13       1.358018150315e-25       6.211848813109e-09       1.200854264777e+22       1.387395658547e+04       1.859679460284e-10       1.035052951040e+18       3.586834221110e-09       8.523697311413e+43       1.131908675955e+33       5.659543379777e+33       1.961343071278e+43       6.537810237592e+42       3.808819787004e-08       3.935469268973e+43       1.442050965234e+44       3.207971798614e-06       3.413251465626e+00 
       7.408542322370e+13       1.377096947308e-25       6.255504558794e-09       1.184217197372e+22       1.387395658547e+04       1.872697216506e-10       1.027857945422e+18       3.611942060658e-09       8.289152634162e+43       1.108467532834e+33       5.542337664171e+33       1.907373231568e+43       6.357910771894e+42       3.808819787004e-08       3.827177839116e+43       1.402370370551e+44       3.284352079533e-06       3.333873524565e+00 
       7.357043021222e+13       1.396443782321e-25       6.299160304479e-09       1.167810625889e+22       1.387395658547e+04       1.885806097022e-10       1.020712954739e+18       3.637225655082e-09       8.061061870468e+43       1.085511841589e+33       5.427559207947e+33       1.854888467897e+43       6.182961559656e+42       3.808819787004e-08       3.721866240374e+43       1.363781657939e+44       3.360732360452e-06       3.258103671734e+00 
       7.305901709257e+13       1.416062421019e-25       6.344635039568e-09       1.151631356955e+22       1.387395658547e+04       1.899006739701e-10       1.013617631320e+18       3.662686234667e-09       7.839247429430e+43       1.063031548807e+33       5.315157744035e+33       1.803847915758e+43       6.012826385860e+42       3.808819787004e-08       3.619452477399e+43       1.326254782322e+44       3.437112641372e-06       3.185701367918e+00 
       7.255115897971e+13       1.435956681972e-25       6.388290785253e-09       1.135676241439e+22       1.387395658547e+04       1.912299786879e-10       1.006571629910e+18       3.688325038310e-09       7.623536606878e+43       1.041016809273e+33       5.205084046363e+33       1.754211835105e+43       5.847372783683e+42       3.808819787004e-08       3.519856811091e+43       1.289760525370e+44       3.513492922291e-06       3.116446990354e+00 
       7.204683116158e+13       1.456130437396e-25       6.433765520342e-09       1.119942173839e+22       1.387395658547e+04       1.925685885387e-10       9.995746076567e+17       3.714143313578e-09       7.413761450905e+43       1.019457981660e+33       5.097289908301e+33       1.705941579409e+43       5.686471931365e+42       3.808819787004e-08       3.423001696513e+43       1.254270472744e+44       3.589873203210e-06       3.050139607581e+00 
       7.154600909790e+13       1.476587613911e-25       6.477421266027e-09       1.104426091678e+22       1.387395658547e+04       1.939165686585e-10       9.926262240881e+17       3.740142316773e-09       7.209758631097e+43       9.983456243105e+32       4.991728121552e+33       1.658999565570e+43       5.529998551902e+42       3.808819787004e-08       3.328811722514e+43       1.219756991978e+44       3.666253484130e-06       2.986595032423e+00 
