# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:dens[1]-dens[1]        4:dens[1]-dens[2]        5:dens[1]-dens[3]        6:dens[1]-dens[4]        7:dens[1]-dens[5]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[3]-dens[5]       15:dens[4]-dens[4]       16:dens[4]-dens[5]       17:dens[5]-dens[5]    
   19       2.059683593526e-10       7.901404206768e-04       2.910171478733e-04       1.604741501461e-05       1.206378289721e-05       1.482209395707e-04       7.306924016748e-04       1.703285724394e-04       4.212439486371e-06       7.203294660576e-05       4.837037279609e-04       1.115151698617e-04       7.347708591442e-05       2.638603964143e-04       1.100271316007e-04       1.361974805525e-04 
   20       2.113652605653e-10       8.635206821000e-04       3.257139642629e-04       2.026659773086e-05       1.362890833724e-05       1.618685261533e-04       8.098554220207e-04       1.938401317981e-04       6.545957510852e-06       8.157455127344e-05       5.373425790407e-04       1.275614606130e-04       8.389663983263e-05       2.943782096546e-04       1.242982210013e-04       1.518355162910e-04 
   21       2.373851198152e-10       9.375920827939e-04       3.618010526853e-04       2.482930409889e-05       1.524439231762e-05       1.756589246135e-04       8.922094816603e-04       2.186808092617e-04       9.051042331735e-06       9.157332540526e-05       5.936396373440e-04       1.446651333032e-04       9.496361767147e-05       3.266240035139e-04       1.394702403764e-04       1.683098131056e-04 
   22       2.215185364109e-10       1.012068681949e-03       3.991357988558e-04       2.972146151554e-05       1.690550468185e-05       1.895498260906e-04       9.775038888995e-04       2.447817171749e-04       1.171931946236e-05       1.019939509355e-04       6.525019803846e-04       1.628052046418e-04       1.066559004359e-04       3.605804958126e-04       1.555279539033e-04       1.856059672470e-04 
   23       1.867211674617e-10       1.086690130164e-03       4.375725024767e-04       3.492674120609e-05       1.860751978616e-05       2.035020003030e-04       1.065480304977e-03       2.720697659962e-04       1.454028707078e-05       1.127996504604e-04       7.138317978643e-04       1.819530612623e-04       1.189487451072e-04       3.962170323171e-04       1.724532303728e-04       2.037077065063e-04 
   24       1.804853830360e-10       1.161238171056e-03       4.769658245334e-04       4.042799913144e-05       2.034656115161e-05       2.174833454066e-04       1.155872118310e-03       3.004696742084e-04       1.750397699557e-05       1.239536857656e-04       7.775217126063e-04       2.020734682427e-04       1.318160032302e-04       4.334913843577e-04       1.902253352952e-04       2.225973133017e-04 
   25       1.960462177128e-10       1.235518490993e-03       5.171702684711e-04       4.620636874812e-05       2.211850966545e-05       2.314642238833e-04       1.248410128353e-03       3.299021169726e-04       2.059870767971e-05       1.354184629672e-04       8.434502203833e-04       2.231150651435e-04       1.452299375684e-04       4.723445466314e-04       2.088208802645e-04       2.422553544111e-04 
   26       2.089254604050e-10       1.309377965571e-03       5.580438292083e-04       5.224246496292e-05       2.391989684035e-05       2.454213119177e-04       1.342822554613e-03       3.602866403846e-04       2.381381156815e-05       1.471570343750e-04       9.114857820423e-04       2.450225994638e-04       1.591620044654e-04       5.127118652367e-04       2.282144485505e-04       2.626611310389e-04 
   27       2.103071887039e-10       1.382688039930e-03       5.994480909761e-04       5.851565277986e-05       2.574728063582e-05       2.593339648157e-04       1.438839426917e-03       3.915412958512e-04       2.714035991367e-05       1.591325118672e-04       9.814969386230e-04       2.677608301857e-04       1.735821353093e-04       5.545537262754e-04       2.483794300723e-04       2.837926080872e-04 
   28       1.975019255434e-10       1.455356825416e-03       6.412507459592e-04       6.500502895720e-05       2.759776401742e-05       2.731867589907e-04       1.536193463540e-03       4.235842883285e-04       3.057079210517e-05       1.713091727051e-04       1.053348387864e-03       2.912992453602e-04       1.884596407979e-04       5.978341898777e-04       2.692878209410e-04       3.056266984312e-04 
   29       1.761347106994e-10       1.527300010118e-03       6.833230535013e-04       7.168864877498e-05       2.946805844887e-05       2.869641535673e-04       1.634624041613e-03       4.563315351274e-04       3.409449361413e-05       1.836512752131e-04       1.126902687673e-03       3.155915049954e-04       2.037624275315e-04       6.424950565850e-04       2.909095142401e-04       3.281390189608e-04 
   30       1.562503730149e-10       1.598470093570e-03       7.255451284488e-04       7.854487193790e-05       3.135544989834e-05       3.006556984986e-04       1.733877956142e-03       4.897003961437e-04       3.770119629509e-05       1.961250106749e-04       1.202018713597e-03       3.405856310540e-04       2.194583795712e-04       6.884672701438e-04       3.132131013515e-04       3.513043722947e-04 
   31       1.478964232828e-10       1.668856886711e-03       7.678070965960e-04       8.555263607343e-05       3.325789438384e-05       3.142562533696e-04       1.833710887920e-03       5.236105204485e-04       4.138190804822e-05       2.086988606476e-04       1.278552208394e-03       3.662294535561e-04       2.355156441628e-04       7.356786148452e-04       3.361662344239e-04       3.750968942288e-04 
   32       1.510237967208e-10       1.738442033449e-03       8.100032820698e-04       9.269004474695e-05       3.517280631444e-05       3.277585066823e-04       1.933889025669e-03       5.579801637957e-04       4.512683468061e-05       2.213413739709e-04       1.356359402255e-03       3.924744063156e-04       2.519011719566e-04       7.840641783287e-04       3.597354444690e-04       3.994896910753e-04 
   33       1.617372303134e-10       1.807232222445e-03       8.520388055944e-04       9.993579846437e-05       3.709796702217e-05       3.411582845210e-04       2.034191763941e-03       5.927301412550e-04       4.892715706527e-05       2.340233992580e-04       1.435295756257e-03       4.192740268207e-04       2.685822337366e-04       8.335601959963e-04       3.838866753591e-04       4.244553161994e-04 
   34       1.753493679912e-10       1.875262912464e-03       8.938308654880e-04       1.072696050888e-04       3.903164493439e-05       3.544552952269e-04       2.134412849780e-03       6.277848966614e-04       5.277511444052e-05       2.467185578152e-04       1.515216724162e-03       4.465821119378e-04       2.855268351657e-04       8.841004880500e-04       4.085854194014e-04       4.499659389675e-04 
   35       1.883059773623e-10       1.942561782054e-03       9.353020192526e-04       1.146712456389e-04       4.097164566815e-05       3.676478923780e-04       2.234358142258e-03       6.630696093997e-04       5.666149874559e-05       2.594012136915e-04       1.595981482028e-03       4.743478311232e-04       3.027026410799e-04       9.356124227998e-04       4.337961649170e-04       4.759931011487e-04 
   36       1.968217898741e-10       2.009175347345e-03       9.763871626966e-04       1.221216717467e-04       4.291602988040e-05       3.807368250411e-04       2.333850666982e-03       6.985135545189e-04       6.057763983181e-05       2.720485246875e-04       1.677451673390e-03       5.025196325713e-04       3.200782143278e-04       9.880198991833e-04       4.594831476376e-04       5.025081084860e-04 
   37       1.975705386813e-10       2.075168731038e-03       1.017033634548e-03       1.296031135981e-04       4.486321548341e-05       3.937253318697e-04       2.432730940621e-03       7.340504083017e-04       6.451587031971e-05       2.846405571339e-04       1.759491334033e-03       5.310471495287e-04       3.376231915200e-04       1.041246173885e-03       4.856105714650e-04       5.294821222364e-04 
