# Matter power spectrum P(k) at redshift z=0
# for k=1.03246e-05 to 8.71643 h/Mpc,
# number of wavenumbers equal to 619
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.280531382314e-02       2.702879093720e+04 
       1.292923293144e-02       2.710043825256e+04 
       1.305318788544e-02       2.716946105570e+04 
       1.317717873312e-02       2.723612108050e+04 
       1.330120554619e-02       2.730032610051e+04 
       1.342526841966e-02       2.736223763097e+04 
       1.354936747141e-02       2.742172324941e+04 
       1.367350284184e-02       2.747900066332e+04 
       1.379767469346e-02       2.753382016017e+04 
       1.392188321068e-02       2.758651440319e+04 
       1.404612859947e-02       2.763700513192e+04 
       1.417041108712e-02       2.768530083455e+04 
       1.429473092205e-02       2.773163691727e+04 
       1.441908837362e-02       2.777558146793e+04 
       1.454348373194e-02       2.781738626985e+04 
       1.466791730778e-02       2.785709285915e+04 
       1.479238943242e-02       2.789434179644e+04 
       1.491690045759e-02       2.792981412773e+04 
       1.504145075540e-02       2.796379808466e+04 
       1.516604071830e-02       2.799529087381e+04 
       1.529067075904e-02       2.802469055911e+04 
       1.541534131072e-02       2.805219479590e+04 
       1.554005282677e-02       2.807778553631e+04 
       1.566480578100e-02       2.810139604040e+04 
       1.578960066768e-02       2.812307264377e+04 
       1.591443800160e-02       2.814260357380e+04 
       1.603931831818e-02       2.816057466573e+04 
       1.616424217356e-02       2.817668328721e+04 
       1.628921014479e-02       2.819088280545e+04 
       1.641422282993e-02       2.820334440498e+04 
       1.653928084822e-02       2.821404555402e+04 
       1.666438484031e-02       2.822302100730e+04 
       1.678953546841e-02       2.823068546272e+04 
       1.691473341655e-02       2.823618320376e+04 
       1.703997939080e-02       2.823977885036e+04 
       1.716527411949e-02       2.824192006694e+04 
       1.729061835356e-02       2.824221178205e+04 
       1.741601286676e-02       2.824095574226e+04 
       1.754145845598e-02       2.823838687167e+04 
       1.766695594160e-02       2.823405000782e+04 
       1.779250616779e-02       2.822818714818e+04 
       1.791811000285e-02       2.822071493907e+04 
       1.804376833962e-02       2.821171517655e+04 
       1.816948209583e-02       2.820120692662e+04 
       1.829525221452e-02       2.818948060522e+04 
       1.842107966443e-02       2.817609293000e+04 
       1.854696544048e-02       2.816120985904e+04 
       1.867291056417e-02       2.814491266455e+04 
       1.879891608411e-02       2.812719491724e+04 
       1.892498307646e-02       2.810816016904e+04 
       1.905111264545e-02       2.808747073516e+04 
       1.917730592392e-02       2.806587982790e+04 
       1.930356407385e-02       2.804276350605e+04 
       1.942988828694e-02       2.801834698747e+04 
       1.955627978516e-02       2.799251796995e+04 
       1.968273982138e-02       2.796555463285e+04 
       1.980926968001e-02       2.793732281228e+04 
       1.993587067760e-02       2.790790586324e+04 
       2.006254416355e-02       2.787712493015e+04 
       2.018929152077e-02       2.784527028508e+04 
       2.031611416639e-02       2.781215765308e+04 
       2.044301355253e-02       2.777799120127e+04 
       2.056999116701e-02       2.774264522797e+04 
       2.069704853417e-02       2.770612232880e+04 
       2.082418721565e-02       2.766841371311e+04 
       2.095140881125e-02       2.762965001724e+04 
       2.107871495975e-02       2.758961069621e+04 
       2.120610733986e-02       2.754916499864e+04 
       2.133358767105e-02       2.750719385413e+04 
       2.146115771457e-02       2.746443264199e+04 
       2.158881927438e-02       2.742045021020e+04 
       2.171657419817e-02       2.737554512121e+04 
       2.184442437838e-02       2.732969270276e+04 
       2.197237175329e-02       2.728289673571e+04 
       2.210041830811e-02       2.723494016954e+04 
       2.222856607610e-02       2.718628379006e+04 
       2.235681713978e-02       2.713670897165e+04 
       2.248517363210e-02       2.708651852341e+04 
       2.261363773769e-02       2.703507539423e+04 
       2.274221169420e-02       2.698289240860e+04 
       2.287089779354e-02       2.692980264848e+04 
       2.299969838335e-02       2.687601115465e+04 
       2.312861586830e-02       2.682138401675e+04 
       2.325765271166e-02       2.676586605423e+04 
       2.338681143674e-02       2.670981622497e+04 
       2.351609462846e-02       2.665284250177e+04 
       2.364550493495e-02       2.659511965303e+04 
       2.377504506923e-02       2.653665400399e+04 
       2.390471781089e-02       2.647762373500e+04 
       2.403452600790e-02       2.641762509819e+04 
       2.416447257839e-02       2.635715085932e+04 
       2.429456051256e-02       2.629591695464e+04 
       2.442479287465e-02       2.623394131481e+04 
       2.455517280493e-02       2.617139908613e+04 
       2.468570352177e-02       2.610807491581e+04 
       2.481638832385e-02       2.604444845322e+04 
